narration_id,participant_id,video_id,narration_timestamp,start_timestamp,stop_timestamp,start_frame,stop_frame
P01_102_3,P01,P01_102,00:00:11.600,00:00:11.09,00:00:11.94,554,597
P01_102_30,P01,P01_102,00:01:11.350,00:01:11.22,00:01:11.83,3561,3591
P01_102_31,P01,P01_102,00:01:12.100,00:01:12.15,00:01:16.77,3607,3838
P01_102_32,P01,P01_102,00:01:20.100,00:01:16.90,00:01:24.32,3845,4216
P01_102_33,P01,P01_102,00:01:24.350,00:01:24.49,00:01:25.01,4224,4250
P01_102_34,P01,P01_102,00:01:26.101,00:01:25.95,00:01:26.66,4297,4333
P01_102_35,P01,P01_102,00:01:26.600,00:01:26.22,00:01:28.56,4311,4428
P01_102_36,P01,P01_102,00:01:29.350,00:01:30.49,00:01:31.30,4524,4565
P01_102_37,P01,P01_102,00:01:29.351,00:01:28.74,00:01:29.84,4437,4492
P01_102_38,P01,P01_102,00:01:30.600,00:01:30.24,00:01:33.49,4512,4674
P01_102_39,P01,P01_102,00:01:34.100,00:01:33.59,00:01:34.75,4679,4737
P01_102_4,P01,P01_102,00:00:12.600,00:00:12.00,00:00:13.00,600,650
P01_102_40,P01,P01_102,00:01:35.600,00:01:34.85,00:01:36.49,4742,4824
P01_102_41,P01,P01_102,00:01:36.350,00:01:35.74,00:01:46.14,4787,5307
P01_102_42,P01,P01_102,00:01:43.850,00:01:35.81,00:01:47.07,4790,5353
P01_102_43,P01,P01_102,00:01:47.600,00:01:47.42,00:01:48.57,5371,5428
P01_102_44,P01,P01_102,00:01:48.100,00:01:50.02,00:01:51.07,5501,5553
P01_102_45,P01,P01_102,00:01:49.102,00:01:48.84,00:01:50.19,5442,5509
P01_102_46,P01,P01_102,00:01:49.850,00:01:51.09,00:01:54.49,5554,5724
P01_102_47,P01,P01_102,00:01:50.601,00:01:48.00,00:01:48.57,5400,5428
P01_102_48,P01,P01_102,00:01:51.851,00:01:51.13,00:01:52.54,5556,5627
P01_102_49,P01,P01_102,00:01:53.351,00:01:52.54,00:01:54.09,5627,5704
P01_102_5,P01,P01_102,00:00:13.850,00:00:13.62,00:00:14.78,681,739
P01_102_50,P01,P01_102,00:01:54.600,00:01:54.19,00:01:54.94,5709,5747
P01_102_51,P01,P01_102,00:01:56.350,00:01:56.34,00:01:57.38,5817,5869
P01_102_52,P01,P01_102,00:01:59.100,00:01:58.53,00:01:59.34,5926,5967
P01_102_53,P01,P01_102,00:02:01.350,00:02:00.54,00:02:03.79,6027,6189
P01_102_54,P01,P01_102,00:02:04.100,00:02:03.82,00:02:04.17,6191,6208
P01_102_55,P01,P01_102,00:02:04.350,00:02:04.44,00:02:05.19,6222,6259
P01_102_56,P01,P01_102,00:02:05.102,00:02:04.82,00:02:15.85,6241,6792
P01_102_57,P01,P01_102,00:02:09.350,00:02:07.00,00:02:23.36,6350,7168
P01_102_58,P01,P01_102,00:02:25.600,00:02:22.89,00:02:29.96,7144,7498
P01_102_59,P01,P01_102,00:02:32.350,00:02:30.30,00:02:34.45,7515,7722
P01_102_6,P01,P01_102,00:00:15.600,00:00:15.10,00:00:15.63,755,781
P01_102_60,P01,P01_102,00:02:34.600,00:02:34.48,00:02:35.39,7723,7769
P01_102_61,P01,P01_102,00:02:35.850,00:02:35.76,00:02:36.50,7788,7825
P01_102_62,P01,P01_102,00:02:36.850,00:02:36.53,00:02:37.47,7826,7873
P01_102_63,P01,P01_102,00:02:38.100,00:02:37.55,00:02:41.58,7877,8078
P01_102_64,P01,P01_102,00:02:41.851,00:02:41.57,00:02:42.40,8078,8120
P01_102_65,P01,P01_102,00:02:42.350,00:02:42.25,00:02:48.86,8112,8443
P01_102_66,P01,P01_102,00:02:50.850,00:02:48.32,00:02:54.05,8416,8702
P01_102_67,P01,P01_102,00:02:53.850,00:02:53.30,00:02:54.25,8665,8712
P01_102_68,P01,P01_102,00:02:54.101,00:02:53.98,00:02:54.75,8699,8737
P01_102_69,P01,P01_102,00:02:55.100,00:02:54.30,00:03:01.11,8715,9055
P01_102_7,P01,P01_102,00:00:16.600,00:00:16.19,00:00:16.67,809,833
P01_102_70,P01,P01_102,00:03:02.100,00:03:01.90,00:03:04.25,9095,9212
P01_102_71,P01,P01_102,00:03:03.350,00:03:03.10,00:03:03.70,9155,9185
P01_102_72,P01,P01_102,00:03:04.850,00:03:03.90,00:03:06.77,9195,9338
P01_102_73,P01,P01_102,00:03:07.350,00:03:06.90,00:03:09.10,9345,9455
P01_102_74,P01,P01_102,00:03:09.352,00:03:09.25,00:03:10.23,9462,9511
P01_102_75,P01,P01_102,00:03:10.600,00:03:10.30,00:03:14.56,9515,9728
P01_102_76,P01,P01_102,00:03:12.850,00:03:16.79,00:03:18.65,9839,9932
P01_102_77,P01,P01_102,00:03:13.601,00:03:11.00,00:03:12.18,9550,9609
P01_102_78,P01,P01_102,00:03:14.600,00:03:12.42,00:03:13.23,9621,9661
P01_102_79,P01,P01_102,00:03:15.600,00:03:13.05,00:03:13.99,9652,9699
P01_102_8,P01,P01_102,00:00:17.100,00:00:16.95,00:00:29.36,847,1468
P01_102_80,P01,P01_102,00:03:16.602,00:03:16.23,00:03:16.73,9811,9836
P01_102_81,P01,P01_102,00:03:17.350,00:03:16.74,00:03:18.48,9837,9924
P01_102_82,P01,P01_102,00:03:18.600,00:03:18.55,00:03:19.33,9927,9966
P01_102_83,P01,P01_102,00:03:19.100,00:03:19.10,00:03:20.49,9955,10024
P01_102_84,P01,P01_102,00:03:20.350,00:03:20.55,00:03:21.60,10027,10080
P01_102_85,P01,P01_102,00:03:21.600,00:03:21.22,00:03:22.06,10061,10103
P01_102_86,P01,P01_102,00:03:23.850,00:03:23.69,00:03:25.06,10184,10253
P01_102_87,P01,P01_102,00:03:25.351,00:03:25.05,00:03:26.51,10252,10325
P01_102_88,P01,P01_102,00:03:27.100,00:03:26.92,00:03:27.78,10346,10389
P01_102_89,P01,P01_102,00:03:29.351,00:03:28.65,00:03:30.63,10432,10531
P01_102_9,P01,P01_102,00:00:29.600,00:00:29.46,00:00:30.18,1473,1509
P01_102_90,P01,P01_102,00:03:31.850,00:03:30.83,00:03:34.30,10541,10715
P01_102_91,P01,P01_102,00:03:33.851,00:03:34.24,00:03:36.03,10712,10801
P01_102_92,P01,P01_102,00:03:36.100,00:03:35.87,00:03:36.49,10793,10824
P01_102_93,P01,P01_102,00:03:37.350,00:03:36.99,00:03:38.62,10849,10931
P01_102_94,P01,P01_102,00:03:39.350,00:03:39.06,00:03:39.68,10953,10984
P01_102_95,P01,P01_102,00:03:40.850,00:03:40.75,00:03:41.45,11037,11072
P01_102_96,P01,P01_102,00:03:41.350,00:03:41.38,00:03:49.24,11069,11462
P01_102_97,P01,P01_102,00:03:42.350,00:03:41.71,00:03:42.70,11085,11135
P01_102_98,P01,P01_102,00:03:43.100,00:03:42.80,00:03:43.45,11140,11172
P01_102_99,P01,P01_102,00:03:43.600,00:03:43.55,00:03:44.95,11177,11247
P01_103_0,P01,P01_103,00:00:02.103,00:00:01.43,00:00:04.83,71,241
P01_103_1,P01,P01_103,00:00:07.615,00:00:07.34,00:00:08.75,367,437
P01_103_10,P01,P01_103,00:00:21.352,00:00:20.71,00:00:21.90,1035,1095
P01_103_11,P01,P01_103,00:00:22.107,00:00:21.71,00:00:22.78,1085,1139
P01_103_12,P01,P01_103,00:00:23.353,00:00:22.82,00:00:24.99,1141,1249
P01_103_13,P01,P01_103,00:00:25.600,00:00:25.04,00:00:26.62,1252,1331
P01_103_14,P01,P01_103,00:00:28.606,00:00:28.10,00:00:29.63,1405,1481
P01_103_15,P01,P01_103,00:00:30.100,00:00:29.45,00:00:31.76,1472,1588
P01_103_16,P01,P01_103,00:00:34.600,00:00:33.96,00:00:35.21,1698,1760
P01_103_17,P01,P01_103,00:00:35.350,00:00:35.28,00:00:36.14,1764,1807
P01_103_18,P01,P01_103,00:00:36.850,00:00:36.69,00:00:37.53,1834,1876
P01_103_19,P01,P01_103,00:00:38.351,00:00:37.94,00:00:38.53,1897,1926
P01_103_2,P01,P01_103,00:00:09.850,00:00:09.09,00:00:10.00,454,500
P01_103_20,P01,P01_103,00:00:39.359,00:00:38.63,00:00:39.50,1931,1975
P01_103_21,P01,P01_103,00:00:40.100,00:00:39.42,00:00:40.58,1971,2029
P01_103_22,P01,P01_103,00:00:41.101,00:00:40.55,00:00:41.59,2027,2079
P01_103_23,P01,P01_103,00:00:43.350,00:00:42.03,00:00:43.85,2101,2192
P01_103_24,P01,P01_103,00:00:44.850,00:00:44.51,00:00:45.48,2225,2274
P01_103_25,P01,P01_103,00:00:46.100,00:00:45.52,00:00:46.70,2276,2335
P01_103_26,P01,P01_103,00:00:46.850,00:00:46.87,00:00:47.60,2343,2380
P01_103_27,P01,P01_103,00:00:48.102,00:00:47.55,00:00:48.57,2377,2428
P01_103_28,P01,P01_103,00:00:48.850,00:00:48.54,00:00:49.35,2427,2467
P01_103_29,P01,P01_103,00:00:49.600,00:00:49.36,00:00:50.03,2468,2501
P01_103_3,P01,P01_103,00:00:10.600,00:00:10.48,00:00:11.95,524,597
P01_103_30,P01,P01_103,00:00:50.351,00:00:50.31,00:00:50.89,2515,2544
P01_103_31,P01,P01_103,00:00:52.351,00:00:51.81,00:00:52.91,2590,2645
P01_103_32,P01,P01_103,00:00:53.350,00:00:53.06,00:00:54.01,2653,2700
P01_103_33,P01,P01_103,00:00:54.350,00:00:54.11,00:00:54.86,2705,2743
P01_103_34,P01,P01_103,00:00:55.350,00:00:54.94,00:00:56.14,2747,2807
P01_103_35,P01,P01_103,00:00:58.600,00:00:58.59,00:00:59.01,2929,2950
P01_103_36,P01,P01_103,00:00:59.350,00:00:59.11,00:01:00.51,2955,3025
P01_103_37,P01,P01_103,00:01:00.850,00:01:00.47,00:01:01.11,3023,3055
P01_103_38,P01,P01_103,00:01:02.615,00:01:00.72,00:01:03.90,3036,3195
P01_103_39,P01,P01_103,00:01:06.350,00:01:05.98,00:01:07.43,3299,3371
P01_103_4,P01,P01_103,00:00:11.850,00:00:12.00,00:00:12.83,600,641
P01_103_40,P01,P01_103,00:01:07.351,00:01:07.26,00:01:07.80,3363,3390
P01_103_41,P01,P01_103,00:01:09.100,00:01:08.64,00:01:09.63,3432,3481
P01_103_42,P01,P01_103,00:01:09.850,00:01:09.82,00:01:11.06,3490,3553
P01_103_43,P01,P01_103,00:01:11.350,00:01:11.05,00:01:12.35,3552,3617
P01_103_44,P01,P01_103,00:01:12.601,00:01:12.36,00:01:12.91,3618,3645
P01_103_45,P01,P01_103,00:01:12.602,00:01:12.97,00:01:13.99,3648,3699
P01_103_46,P01,P01_103,00:01:14.101,00:01:14.00,00:01:21.02,3700,4051
P01_103_47,P01,P01_103,00:01:21.350,00:01:20.97,00:01:21.71,4048,4085
P01_103_48,P01,P01_103,00:01:22.601,00:01:22.25,00:01:23.03,4112,4151
P01_103_49,P01,P01_103,00:01:24.350,00:01:24.03,00:01:25.05,4201,4252
P01_103_5,P01,P01_103,00:00:13.351,00:00:13.01,00:00:14.65,650,732
P01_103_50,P01,P01_103,00:01:26.600,00:01:26.50,00:01:26.81,4325,4340
P01_103_51,P01,P01_103,00:01:27.600,00:01:27.29,00:01:27.79,4364,4389
P01_103_52,P01,P01_103,00:01:28.350,00:01:28.24,00:01:28.90,4412,4445
P01_103_53,P01,P01_103,00:01:29.850,00:01:29.50,00:01:30.39,4475,4519
P01_103_54,P01,P01_103,00:01:30.601,00:01:30.41,00:01:30.91,4520,4545
P01_103_55,P01,P01_103,00:01:31.600,00:01:31.36,00:01:32.71,4568,4635
P01_103_56,P01,P01_103,00:01:32.102,00:01:32.16,00:01:32.49,4608,4624
P01_103_57,P01,P01_103,00:01:33.350,00:01:33.22,00:01:34.29,4661,4714
P01_103_58,P01,P01_103,00:01:34.356,00:01:33.89,00:01:34.34,4694,4717
P01_103_59,P01,P01_103,00:01:35.850,00:01:34.89,00:01:38.09,4744,4904
P01_103_6,P01,P01_103,00:00:16.100,00:00:16.17,00:00:17.30,808,865
P01_103_60,P01,P01_103,00:01:39.100,00:01:38.48,00:01:47.83,4923,5391
P01_103_61,P01,P01_103,00:01:49.358,00:01:48.88,00:01:49.48,5444,5473
P01_103_62,P01,P01_103,00:01:49.600,00:01:49.49,00:01:49.79,5474,5489
P01_103_63,P01,P01_103,00:01:51.350,00:01:50.38,00:01:56.97,5519,5848
P01_103_64,P01,P01_103,00:01:57.350,00:01:57.01,00:01:58.61,5850,5930
P01_103_65,P01,P01_103,00:01:59.100,00:01:59.09,00:02:00.59,5954,6029
P01_103_66,P01,P01_103,00:02:01.850,00:02:01.38,00:02:02.14,6069,6107
P01_103_67,P01,P01_103,00:02:02.609,00:02:02.18,00:02:03.28,6109,6164
P01_103_68,P01,P01_103,00:02:03.101,00:02:01.00,00:02:04.59,6050,6229
P01_103_69,P01,P01_103,00:02:04.850,00:02:04.59,00:02:05.39,6229,6269
P01_103_7,P01,P01_103,00:00:18.350,00:00:18.73,00:00:19.37,936,968
P01_103_70,P01,P01_103,00:02:06.350,00:02:05.79,00:02:06.84,6289,6342
P01_103_71,P01,P01_103,00:02:07.351,00:02:07.24,00:02:07.90,6362,6395
P01_103_72,P01,P01_103,00:02:08.351,00:02:07.80,00:02:08.80,6390,6440
P01_103_73,P01,P01_103,00:02:10.100,00:02:09.22,00:02:10.17,6461,6508
P01_103_74,P01,P01_103,00:02:10.864,00:02:10.35,00:02:11.25,6517,6562
P01_103_75,P01,P01_103,00:02:11.600,00:02:11.27,00:02:12.40,6563,6620
P01_103_76,P01,P01_103,00:02:12.850,00:02:12.50,00:02:14.24,6625,6712
P01_103_77,P01,P01_103,00:02:14.100,00:02:13.81,00:02:16.98,6690,6848
P01_103_78,P01,P01_103,00:02:17.100,00:02:16.82,00:02:17.90,6841,6895
P01_103_79,P01,P01_103,00:02:18.601,00:02:18.09,00:02:23.05,6904,7152
P01_103_8,P01,P01_103,00:00:19.101,00:00:18.12,00:00:19.60,906,980
P01_103_80,P01,P01_103,00:02:23.600,00:02:23.45,00:02:25.34,7172,7267
P01_103_81,P01,P01_103,00:02:25.850,00:02:25.68,00:02:27.55,7284,7377
P01_103_82,P01,P01_103,00:02:27.602,00:02:27.20,00:02:28.60,7359,7430
P01_103_83,P01,P01_103,00:02:28.350,00:02:28.40,00:02:29.05,7420,7452
P01_103_84,P01,P01_103,00:02:30.100,00:02:29.90,00:02:30.55,7495,7527
P01_103_85,P01,P01_103,00:02:31.350,00:02:30.50,00:02:31.60,7525,7580
P01_103_86,P01,P01_103,00:02:31.603,00:02:31.35,00:02:32.10,7567,7605
P01_103_87,P01,P01_103,00:02:33.350,00:02:32.70,00:02:34.10,7634,7705
P01_103_88,P01,P01_103,00:02:34.600,00:02:32.00,00:02:34.97,7600,7748
P01_103_89,P01,P01_103,00:02:35.101,00:02:35.11,00:02:36.03,7755,7801
P01_103_9,P01,P01_103,00:00:20.100,00:00:19.47,00:00:20.84,973,1042
P01_103_90,P01,P01_103,00:02:35.601,00:02:35.87,00:02:36.91,7793,7845
P01_103_91,P01,P01_103,00:02:36.850,00:02:36.92,00:02:43.41,7846,8170
P01_103_92,P01,P01_103,00:02:43.600,00:02:43.47,00:02:45.28,8173,8264
P01_103_93,P01,P01_103,00:02:47.600,00:02:47.37,00:02:48.44,8368,8422
P01_103_94,P01,P01_103,00:02:49.850,00:02:48.81,00:02:51.54,8440,8577
P01_103_95,P01,P01_103,00:02:52.351,00:02:51.92,00:02:53.63,8596,8681
P01_103_96,P01,P01_103,00:02:53.601,00:02:53.48,00:02:55.61,8674,8780
P01_103_97,P01,P01_103,00:02:55.601,00:02:55.27,00:02:56.52,8763,8826
P01_104_0,P01,P01_104,00:00:01.101,00:00:00.82,00:00:01.81,41,90
P01_104_1,P01,P01_104,00:00:02.601,00:00:02.42,00:00:04.10,121,204
P01_104_10,P01,P01_104,00:00:23.104,00:00:23.18,00:00:23.75,1159,1187
P01_104_11,P01,P01_104,00:00:24.101,00:00:24.84,00:00:25.41,1242,1270
P01_104_12,P01,P01_104,00:00:25.601,00:00:25.51,00:00:26.35,1275,1317
P01_104_13,P01,P01_104,00:00:27.100,00:00:27.03,00:00:28.60,1351,1430
P01_104_14,P01,P01_104,00:00:28.851,00:00:28.70,00:00:30.56,1435,1528
P01_104_15,P01,P01_104,00:00:30.609,00:00:30.56,00:00:32.23,1528,1611
P01_104_16,P01,P01_104,00:00:32.861,00:00:32.33,00:00:33.72,1616,1686
P01_104_17,P01,P01_104,00:00:34.101,00:00:33.52,00:00:34.43,1676,1721
P01_104_18,P01,P01_104,00:00:36.100,00:00:35.76,00:00:36.55,1788,1827
P01_104_19,P01,P01_104,00:00:36.601,00:00:35.78,00:00:36.98,1789,1848
P01_104_2,P01,P01_104,00:00:08.857,00:00:09.29,00:00:09.99,464,499
P01_104_20,P01,P01_104,00:00:37.101,00:00:37.03,00:00:37.58,1851,1879
P01_104_21,P01,P01_104,00:00:38.357,00:00:39.12,00:00:39.74,1955,1987
P01_104_22,P01,P01_104,00:00:38.857,00:00:38.27,00:00:39.64,1913,1982
P01_104_23,P01,P01_104,00:00:39.606,00:00:37.00,00:00:40.12,1850,2005
P01_104_24,P01,P01_104,00:00:40.600,00:00:39.81,00:00:47.46,1990,2373
P01_104_25,P01,P01_104,00:00:47.601,00:00:47.49,00:00:47.80,2374,2390
P01_104_26,P01,P01_104,00:00:48.101,00:00:47.90,00:00:48.68,2395,2434
P01_104_27,P01,P01_104,00:00:49.607,00:00:49.51,00:00:53.41,2475,2670
P01_104_28,P01,P01_104,00:00:53.851,00:00:53.49,00:00:54.08,2674,2704
P01_104_29,P01,P01_104,00:00:54.606,00:00:54.55,00:01:03.66,2727,3183
P01_104_3,P01,P01_104,00:00:12.101,00:00:11.45,00:00:17.69,572,884
P01_104_30,P01,P01_104,00:01:04.357,00:01:03.47,00:01:05.07,3173,3253
P01_104_31,P01,P01_104,00:01:06.350,00:01:05.17,00:01:32.45,3258,4622
P01_104_32,P01,P01_104,00:01:33.358,00:01:33.32,00:01:34.22,4666,4711
P01_104_33,P01,P01_104,00:01:34.850,00:01:33.57,00:01:36.36,4678,4818
P01_104_34,P01,P01_104,00:01:35.600,00:01:35.37,00:01:36.22,4768,4811
P01_104_35,P01,P01_104,00:01:36.100,00:01:36.02,00:01:36.32,4801,4816
P01_104_36,P01,P01_104,00:01:36.351,00:01:36.18,00:01:40.18,4809,5009
P01_104_37,P01,P01_104,00:01:40.850,00:01:40.18,00:01:41.08,5009,5054
P01_104_38,P01,P01_104,00:01:41.608,00:01:41.28,00:01:41.83,5064,5091
P01_104_39,P01,P01_104,00:01:42.100,00:01:41.85,00:01:45.34,5092,5267
P01_104_4,P01,P01_104,00:00:15.850,00:00:15.49,00:00:16.45,774,822
P01_104_40,P01,P01_104,00:01:45.353,00:01:45.01,00:01:45.71,5250,5285
P01_104_41,P01,P01_104,00:01:49.350,00:01:48.59,00:01:49.54,5429,5477
P01_104_42,P01,P01_104,00:01:49.604,00:01:49.19,00:01:53.61,5459,5680
P01_104_43,P01,P01_104,00:01:49.850,00:01:50.58,00:01:57.32,5529,5866
P01_104_44,P01,P01_104,00:01:57.350,00:01:57.49,00:01:57.91,5874,5895
P01_104_45,P01,P01_104,00:01:58.100,00:01:58.08,00:02:02.53,5904,6126
P01_104_46,P01,P01_104,00:02:02.601,00:02:02.54,00:02:02.86,6127,6143
P01_104_47,P01,P01_104,00:02:03.351,00:02:03.03,00:02:04.09,6151,6204
P01_104_48,P01,P01_104,00:02:04.358,00:02:04.09,00:02:18.12,6204,6906
P01_104_49,P01,P01_104,00:02:18.602,00:02:18.12,00:02:18.79,6906,6939
P01_104_5,P01,P01_104,00:00:16.601,00:00:15.96,00:00:17.28,798,864
P01_104_50,P01,P01_104,00:02:19.102,00:02:19.02,00:02:24.14,6951,7206
P01_104_51,P01,P01_104,00:02:24.356,00:02:24.28,00:02:24.65,7214,7232
P01_104_52,P01,P01_104,00:02:24.858,00:02:24.70,00:02:25.71,7234,7285
P01_104_53,P01,P01_104,00:02:25.356,00:02:24.45,00:02:27.21,7222,7360
P01_104_54,P01,P01_104,00:02:26.107,00:02:26.86,00:02:34.20,7343,7709
P01_104_55,P01,P01_104,00:02:34.602,00:02:34.15,00:02:35.36,7707,7768
P01_104_56,P01,P01_104,00:02:35.608,00:02:35.36,00:02:37.15,7768,7857
P01_104_57,P01,P01_104,00:02:37.350,00:02:36.97,00:02:39.29,7848,7964
P01_104_58,P01,P01_104,00:02:39.600,00:02:39.38,00:02:40.00,7969,8000
P01_104_59,P01,P01_104,00:02:40.850,00:02:39.82,00:02:41.52,7991,8076
P01_104_6,P01,P01_104,00:00:18.101,00:00:17.92,00:00:18.84,896,942
P01_104_60,P01,P01_104,00:02:41.600,00:02:41.61,00:02:41.87,8080,8093
P01_104_61,P01,P01_104,00:02:42.100,00:02:41.97,00:02:42.51,8098,8125
P01_104_62,P01,P01_104,00:02:42.350,00:02:42.03,00:02:42.78,8101,8139
P01_104_63,P01,P01_104,00:02:43.350,00:02:41.84,00:02:55.11,8092,8755
P01_104_64,P01,P01_104,00:02:55.352,00:02:55.39,00:02:55.82,8769,8791
P01_104_65,P01,P01_104,00:02:55.850,00:02:56.27,00:02:56.75,8813,8837
P01_104_66,P01,P01_104,00:02:56.601,00:02:56.22,00:02:57.42,8811,8871
P01_104_67,P01,P01_104,00:02:57.601,00:02:57.48,00:02:57.99,8874,8899
P01_104_68,P01,P01_104,00:02:58.350,00:02:58.12,00:02:59.06,8906,8953
P01_104_69,P01,P01_104,00:02:59.851,00:02:59.70,00:03:00.30,8985,9015
P01_104_7,P01,P01_104,00:00:19.101,00:00:18.86,00:00:19.31,943,965
P01_104_70,P01,P01_104,00:03:00.350,00:03:00.12,00:03:01.02,9006,9051
P01_104_71,P01,P01_104,00:03:01.100,00:03:01.07,00:03:01.84,9053,9092
P01_104_72,P01,P01_104,00:03:01.850,00:03:01.87,00:03:02.74,9093,9137
P01_104_73,P01,P01_104,00:03:02.851,00:03:02.63,00:03:03.08,9131,9154
P01_104_74,P01,P01_104,00:03:03.350,00:03:03.18,00:03:03.54,9159,9177
P01_104_75,P01,P01_104,00:03:03.851,00:03:03.69,00:03:06.28,9184,9314
P01_104_76,P01,P01_104,00:03:06.600,00:03:06.46,00:03:07.00,9323,9350
P01_104_77,P01,P01_104,00:03:07.101,00:03:07.09,00:03:07.49,9354,9374
P01_104_78,P01,P01_104,00:03:09.356,00:03:09.23,00:03:27.98,9461,10399
P01_104_79,P01,P01_104,00:03:29.102,00:03:28.93,00:03:29.73,10446,10486
P01_104_8,P01,P01_104,00:00:19.350,00:00:19.43,00:00:20.01,971,1000
P01_104_80,P01,P01_104,00:03:29.606,00:03:29.18,00:03:31.15,10459,10557
P01_104_81,P01,P01_104,00:03:31.606,00:03:31.34,00:03:32.66,10567,10633
P01_104_82,P01,P01_104,00:03:33.101,00:03:32.81,00:03:34.20,10640,10710
P01_104_83,P01,P01_104,00:03:34.606,00:03:34.44,00:03:35.31,10722,10765
P01_104_84,P01,P01_104,00:03:35.607,00:03:35.16,00:03:38.23,10758,10911
P01_104_85,P01,P01_104,00:03:38.606,00:03:38.24,00:03:39.08,10912,10954
