id,key,instances,category
11,hand,"['hand', 'hand:using', 'hand:my', 'hand:gloved', 'hand:other', 'hand:second', 'hand:wet', 'thumb', 'arm', 'finger', 'hand:left', 'blood']",hand
12,fridge,"['fridge', 'refrigerator', 'door:refrigerator', 'door:fridge', 'item:fridge', 'top:fridge', 'side:fridge', 'content:fridge', 'content:fridge:drawer']",appliances
13,cup,"['cup', 'cup:coffee', 'cup:measuring', 'cup:small', 'mug', 'mug:rinse', 'mug:clean', 'mug:glass', 'mug:tea', 'mug:rice', 'mug:coffee', 'cup:plastic', 'mug:water', 'cup:tea', 'side:mug', 'top:mug', 'content:cup', 'cup:soap', 'cup:flour', 'cup:water', 'cup:milk', 'content:mug']",crockery
14,fork,"['fork', 'fork:soap', 'fork:wash', 'fork:paper', 'fork:wooden']",cutlery
15,bottle,"['bottle', 'bottle:oil', 'bottle:milk', 'bottle:water', 'bottle:sauce', 'bottle:pesto', 'bottle:vinegar', 'bottle:passata', 'bottle:vanilla:extract', 'bottle:plastic', 'bottle:liquid', 'bottle:spice', 'bottle:vegetable:oil', 'bottle:whiskey', 'bottle:squash', 'bottle:fabric:conditioner', 'bottle:washing:detergent', 'bottle:tonic:water', 'bottle:rice:vinegar', 'bottle:soy:sauce', 'bottle:cooking:wine', 'bottle:gin', 'bottle:washing:liquid', 'bottle:fallen:oil', 'bottle:little', 'flask:oil', 'end:milk:bottle', 'position:tonic:water:bottle', 'shaker', 'rim', 'top:water:bottle', 'top:milk:bottle', 'bottle:olive:oil', 'bottle:bean:curd', 'bottle:wine', 'bottle:coke', 'bottle:nesquik', 'bottle:something', 'sauce:bottle', 'bottom:bottle']",containers
16,onion,"['onion', 'onion:cutting', 'piece:onion', 'bit:onion', 'onion:red', 'onion:chopped', 'onion:sliced', 'onion:pickled', 'onion:remaining', 'layer:onion', 'end:onion', 'slice:onion', 'half:onion', 'part:onion:piece', 'side:onion', 'top:onion:layer', 'onion:excess', 'onion:open', 'onion:few', 'onion:half', 'onion:diced', 'onion:new', 'rest:onion:slice', 'top:onion', 'bottom:onion', 'choppings:onion', 'fragment:onion']",vegetables
17,cloth,"['cloth', 'cloth:table', 'rag', 'cloth:dish', 'cloth:cleaning', 'cloth:washing', 'dishrag', 'rag:dish', 'cloth:wiping', 'dishcloth', 'rag:cloth', 'tablecloth', 'runner:table', 'clothe']",cleaning equipment and material
18,board:chopping,"['board:chopping', 'board:cutting', 'board', 'board:serving', 'block:chopping', 'board:cut', 'block', 'board:charging', 'board:draining', 'board:drying', 'pad', 'plate:cutting', 'board:chipping', 'board:chop', 'board:washing']",utensils
19,bag,"['bag', 'bag:plastic', 'bag:pasta', 'bag:mozzarella', 'bag:cereal', 'bag:grape', 'bag:flour', 'bag:cheese', 'bag:nut', 'bag:rice', 'bag:oregano', 'bag:salad', 'bag:bin', 'bag:coffee', 'bag:spaghetti', 'bag:food', 'bag:trash', 'bag:onion', 'bag:carrot', 'bag:bread', 'bag:grapes', 'bag:sandwich', 'bag:kitchen', 'bag:glove', 'bag:coffee:bean', 'bag:compost', 'bag:empty', 'bag:sugar', 'bag:paddleboard', 'bag:shopping', 'bag:chilli:powder', 'bag:potato', 'bag:rosemary', 'bag:apple', 'bag:mesh', 'bag:radish', 'bag:asparagus', 'bag:noodle', 'bag:breadstick', 'bag:folded', 'bag:pistachio', 'bag:chilli', 'bag:porridge', 'bag:tea:bag', 'bag:rubbish', 'bag:spice', 'bag:pepper', 'bag:sweetcorn', 'bag:cumin:seed', 'bag:rock:sugar', 'bag:carrot:packing', 'bag:open:pine:nut', 'bag:pine:nut', 'bag:bay:leaf', 'bag:herb', 'bag:crisp', 'bag:seasoning', 'bag:packing', 'bag:garlic', 'bag:bread:wrap', 'bag:coriander', 'bag:potato:packing', 'strip:coffee:bean:bag', 'purse', 'shut:bag', 'net', 'top:rice:bag', 'mesh:orange', 'top:sugar:bag', 'bag:tortilla:plastic', 'bag:salt', 'bag:fish', 'bag:tomato', 'bag:bread:plastic', 'bag:tortilla', 'bag:toast:bread', 'bag:ginger', 'bag:plastic:trash', 'bag:oatmeal', 'bag:breadcrumb', 'bag:spice:plastic', 'bag:spring:onion', 'bag:capsule', 'bag:coconut', 'bag:flower', 'bag:food:bin', 'bag:grocery', 'bag:new', 'bag:garbage', 'bag:carrier', 'content:bag', 'scrap', 'scrap:pepper']",containers
20,spatula,"['spatula', 'spatula:wooden', 'spate', 'spatula:sieve', 'scraper', 'spatula:move', 'end:spatula']",utensils
21,container,"['container', 'container:food', 'container:milk', 'container:sauce', 'container:rice', 'container:tofu', 'container:sugar', 'container:salt', 'container:tomato', 'container:pasta', 'container:cake', 'bin:bread', 'bucket', 'container:coffee', 'container:washing', 'container:coffee:bean', 'container:spice', 'container:coffee:ground', 'container:empty', 'container:stock', 'container:stock:cube', 'container:cream:cheese', 'container:oregano', 'container:pod', 'container:plastic', 'container:oil', 'container:ground:coffee', 'container:yoghurt', 'container:pepper', 'container:mince', 'container:cheese', 'container:inside', 'container:water', 'container:soap', 'tin:utensil']",containers
22,liquid:washing,"['liquid:washing', 'liquid:cleaning', 'detergent', 'degreaser', 'cleanser', 'spray', 'cleaner', 'washing:dish', 'product', 'spray:cleaning', 'detergent:washing', 'product:cleaning', 'dispenser:soap', 'alcohol', 'soap', 'wash:hand', 'dish:soap', 'liquid:washing:up', 'liquid:dishwashing', 'remover:spot', 'ball:washing', 'liquid:dish:washing', 'liquid:laundry', 'soap:dish', 'soap:dishwasher', 'soap:liquid', 'soap:more', 'softener', 'spray:kitchen']",cleaning equipment and material
23,box,"['box', 'box:lunch', 'box:cereal', 'box:tea', 'box:salt', 'tupperware', 'lunchbox', 'case', 'box:mushroom', 'box:coffee', 'box:cheese', 'box:milk', 'box:rice', 'box:carrot', 'box:fruit', 'pot:plastic', 'tub', 'box:plastic', 'box:eggs', 'box:fajita', 'box:cling:film', 'box:egg:carton', 'box:pizza', 'tub:starter', 'box:stock:container', 'box:breadstick', 'box:tomato', 'tupperware:sugar', 'box:stock:cube', 'box:ice:cream', 'box:tupperware', 'tub:hummus', 'box:food', 'box:butter', 'box:pitta:bread', 'box:noodle', 'tupperware:butter', 'case:thermometer', 'box:bread', 'tub:tupperware', 'tub:oregano', 'tub:plastic', 'box:blender', 'box:meat', 'box:cherry:tomato', 'tub:butter', 'box:egg', 'box:folding', 'box:yeast', 'box:scotch:egg', 'box:washing:powder', 'position:box', 'side:tub', 'top:butter:box', 'side:tupperware', 'stack:tub', 'bowl:tupperware', 'content:box', 'content:tupperware', 'box:small', 'box:filter', 'box:water', 'box:pasta', 'box:salad', 'box:blueberry', 'box:olive', 'box:sausage', 'box:bean:curd', 'box:empty', 'box:paper', 'box:fajitas', 'container:tupperware', 'top:stack', 'game:board', 'tupperware:second', 'tupperware:oregano', 'bit:tupperware']",containers
24,hob,"['hob', 'stove', 'gas', 'burners', 'hop', 'hot', 'burner', 'hob:induction', 'grid', 'grid:hob', 'flame', 'grill', 'grill:hob', 'griddle', 'surface:hob', 'top:stove', 'top:burner', 'fire', 'support', 'support:pan', 'trivet', 'cap:burner', 'holder:pot', 'oven:left', 'oven:right', 'cooker:flame', 'flame:cooker', 'flame:stove', 'intensity:flame', 'number:hob', 'press:panini', 'stove:electronic', 'stove:gas', 'source:power']",appliances
25,dough,"['dough', 'dough:bread', 'dough:remaining', 'chunk:dough', 'edge:dough', 'partition:dough', 'scrap:dough', 'ball:dough', 'ball', 'side:dough', 'dough:half', 'dough:excess']",baked goods and grains
26,package,"['package', 'package:cheese', 'package:bread', 'package:cooky', 'package:popcorn', 'package:mozzarella', 'package:parsley', 'package:salad', 'package:pasta', 'packaging', 'packaging:salad', 'packaging:bread', 'packet', 'pack:cheese', 'pack', 'pack:tortilla', 'pack:tea', 'carton:egg', 'wrapper', 'plastic', 'package:sausage', 'package:cookies', 'pack:soup', 'package:bacon', 'pack:oat', 'carton', 'packet:beef', 'packet:tea', 'package:meat', 'sachet', 'packet:cookies', 'packet:cheese', 'carton:milk', 'sachet:flavour', 'packet:sausage', 'package:cream', 'package:salt', 'pack:salad', 'pack:meat', 'pack:pasta', 'package:fajita', 'package:wrap', 'package:spice', 'package:egg', 'cardboard', 'wrapping', 'package:honey', 'packaging:tomato', 'packaging:open:meat', 'packet:yeast', 'package:green:bean', 'sachet:sugar', 'packet:coffee', 'packaging:mince', 'pack:battery', 'package:couscous', 'package:carrot', 'wrapper:oil', 'package:crispy:pancake', 'packaging:cream:cheese', 'packaging:parsley', 'packet:tablet', 'packaging:pasta', 'packaging:it', 'packet:pork:belly', 'packaging:corn', 'packaging:stock:cube', 'packaging:rice', 'sachet:open', 'packaging:parmesan', 'package:vegetable:stock', 'package:chicken', 'packet:tofu', 'packaging:tenderstem:broccoli', 'packaging:mushroom', 'packaging:salami', 'package:potato', 'wrapping:plastic', 'pack:egg', 'package:hot:dog', 'pack:vegetable:stock', 'packaging:iron', 'packet:red:lentil', 'package:parmesan', 'packet:coriander', 'carton:juice', 'wrapping:butter', 'package:oat', 'packet:peanut', 'packaging:salmon', 'packet:broccoli', 'packet:pepper', 'packaging:cream', 'package:fish:finger', 'carton:salt', 'packet:bacon', 'package:plastic', 'packaging:pizza:base', 'packaging:cracker', 'packet:mushroom', 'packaging:plastic', 'packaging:pizza', 'packet:parsley', 'packet:open:mozzarella', 'packaging:radish', 'packaging:cheese', 'packet:rice', 'package:mustard', 'packet:crisp', 'package:paprika', 'packet:cumin:seed', 'packet:spinach', 'packaging:stock', 'package:powder', 'packet:it', 'package:cracker', 'packet:salami', 'packaging:pod', 'package:butter', 'package:cottage:cheese', 'pack:tomato', 'packet:plastic', 'packet:sugar', 'package:softener', 'packet:bread', 'packet:open:tofu', 'packaging:meat', 'package:almond:drink', 'packet:vegetable:stock', 'pack:sugar', 'sachet:baking:powder', 'package:tomato', 'wrapper:stock:cube', 'packaging:butter', 'package:pak:choi', 'packaging:cucumber', 'package:blueberry', 'packaging:biscuit', 'punnet', 'packing:rib', 'strip:opening', 'slice:bread:packet', 'bit:cheese:packet', 'packing:potato', 'bundle', 'package:quorn', 'package:olive', 'package:avocado', 'package:sauce', 'package:food', 'package:pizza', 'package:kale', 'package:mixed:spice', 'package:cookie', 'package:lettuce', 'package:fajitas', 'package:tortilla', 'bread:packing', 'carton:soy:milk', 'pack:chicken', 'pack:cookie', 'pack:pizza', 'packaging:cookie', 'packaging:fishcake', 'packaging:green:bean', 'packaging:ham', 'packaging:leek', 'packaging:lettuce', 'packet:chicken', 'packet:cookie', 'packet:fishcake', 'packet:granola', 'packet:new', 'packet:open:sausage', 'packet:popcorn', 'packet:potato', 'packing', 'packing:green:bean', 'packing:oat', 'slice:bread:packaging', 'envelope:oregano', 'pack:bin:cheese', 'strip:plastic', 'wrapper:bacon', 'wrapper:cheese']",containers
27,water,"['water', 'water:empty', 'water:excess', 'water:hot', 'water:more', 'excess:water', 'water:boiling', 'water:cold', 'water:remove', 'water:tonic', 'water:warm', 'water:remaining', 'water:boiled', 'pressure:water', 'level:water', 'wastewater', 'water:coriander', 'water:filtered', 'water:boil', 'water:pot', 'water:dirty', 'water:kettle', 'water:salt', 'water:access', 'water:tap:cover:sink', 'water:add', 'water:actual', 'wash:water', 'depth:water']",drinks
28,meat,"['meat', 'meat:minced', 'piece:meat', 'mix:meat', 'meat:mix', 'mincemeat', 'meat:mince', 'meat:diced', 'meat:nasty', 'dice:meat', 'fat', 'mince', 'cutlet', 'heart', 'meat:open', 'meat:stir', 'meat:stirring', 'bit:meat', 'doneness:meat', 'rib']",meat and substitute
29,pot,"['pot', 'pot:small', 'pot:white', 'pot:right', 'pot:left', 'pot:second', 'pot:pressure', 'pot:pasta', 'pot:sauce', 'pot:third', 'pot:first', 'pot:tupperware', 'pot:inner', 'pot:cooking', 'pot:rice', 'pot:rice:cooker', 'edge:pot', 'bottom:pot', 'side:pot', 'pot:food', 'pot:hob', 'pot:kiwi', 'pot:larger', 'pot:black', 'pot:spaghetti', 'pot:salt', 'pot:top', 'pot:other', 'top:pot', 'left:pot', 'part:pot', 'position:pot']",cookware
30,potato,"['potato', 'potato:baby', 'potato:sliced', 'potato:sweet', 'slice:potato', 'bit:potato', 'chip', 'potato:scoop']",vegetables
31,oil,"['oil', 'oil:olive', 'oil:chilli', 'oil:sesame', 'oil:more', 'oil:truffle', 'oil:fish', 'oil:coconut', 'roll:sesame', 'switch:oil']",spices and herbs and sauces
32,cheese,"['cheese', 'slice:cheese', 'mixture:cheese', 'mozzarella', 'paneer', 'slice:mozzarella', 'parmesan', 'cheese:grated', 'cheese:remaining', 'cheese:cream', 'cheese:containing', 'cheese:cottage', 'cheese:parmesan', 'cheese:feta', 'lengthways:cheese', 'bit:cheese', 'piece:mozzarella', 'ball:mozzarella', 'curd:cheese', 'cheese:open', 'cheese:more', 'mozzarella:more', 'mozzarella:tomato:sauce', 'piece:cheese', 'pesto:cheese']",dairy and eggs
33,bread,"['bread', 'bread:white', 'bread:toast', 'loaf', 'rusk', 'toast', 'bun:hamburger', 'slice:bread', 'ciabatta', 'bread:sandwich', 'bread:pitta', 'loaf:bread', 'piece:bread:crust', 'bagel:release', 'pitta', 'crust:bottom', 'inside:bread', 'piece:bread', 'baguette', 'softness:bread', 'end:bread', 'bun:bao', 'bottom:bread:crust', 'bao', 'underside:bread', 'piece:pitta', 'half:bread', 'bagel', 'crust', 'half:bagel', 'bit:bread', 'bun', 'bun:steamed', 'crust:bread', 'piece:baguette', 'piece:crust', 'croissant', 'top:bread', 'bread:avocado', 'bread:hamburger', 'slice:toast:bread']",baked goods and grains
34,food,"['food', 'food:scoop', 'bit:food', 'grocery', 'food:burned', 'food:frozen', 'food:remaining', 'piece:food', 'fry:stir', 'stroganoff', 'yesterday:cooked', 'topping', 'ingredient', 'ingredient:pan', 'ingredient:soup', 'leftover', 'food:leftover', 'scrap:food', 'jambalaya', 'paella', 'content', 'food:more', 'food:cooked', 'food:empty', 'bite', 'content:frying:pan', 'couscous']",prepared food
35,tray,"['tray', 'tray:baking', 'pan:baking', 'tray:pizza', 'tin:baking', 'base:tin', 'tray:grill', 'tray:mug', 'tray:bacon', 'tray:second', 'tray:cutlery', 'tray:first', 'tray:weight', 'tray:plastic', 'tray:ice', 'tray:ice:cube', 'tray:steamer', 'tray:oven', 'tray:falling', 'tray:potato', 'mould', 'position:tray', 'bottom:oven:tray', 'mould:ring:cake', 'boundary:cake:mould', 'mould:cake', 'bottom:springform:tin', 'form', 'bottom:spring:form', 'casserole', 'tin:cake', 'tin:spring:form', 'dish:oven', 'tray:olive', 'base:baking:tin', 'base:cake:container', 'height:tray']",cookware
36,bin,"['bin', 'bin:trash', 'bin:dust', 'bin:food', 'dustbin', 'bin:rubbish', 'bin:garbage', 'bin:recycling', 'basket:waste', 'wastebasket', 'bin:compost', 'bin:food:recycling', 'box:recycling', 'side:bin', 'bin:new', 'bin:other', 'can:trash', 'top:plastic:bin', 'pin:dust', 'hair']",rubbish
37,pepper,"['pepper', 'pepper:bell', 'pepper:black', 'piece:pepper:skin', 'piece:pepper', 'bit:pepper:skin', 'bit:pepper', 'slice:pepper', 'half:pepper', 'pulp:pepper', 'core:pepper', 'part:pepper', 'part:pepper:piece', 'top:pepper', 'pepper:more', 'bit:bell:pepper', 'middle:pepper', 'peppercorn']",vegetables
38,salt,"['salt', 'seasoning', 'salt:more', 'sale', 'soil']",spices and herbs and sauces
39,colander,"['colander', 'strainer:pasta', 'strainer', 'strainer:mesh', 'sieve', 'strainer:tea:pot', 'strainer:teapot', 'strainer:sink', 'strainer:tea', 'mesh', 'infuser:tea', 'infuser', 'infusers:tea', 'cap:sink', 'catcher:sink', 'colander:soap', 'cupboard:strainer', 'mesh:steel', 'stain']",utensils
40,jar,"['jar', 'jar:sugar', 'jar:coffee', 'jar:filter', 'jar:salt', 'jar:honey', 'jar:herb', 'jar:smoked:paprika', 'jar:cayenne:pepper', 'jar:cumin', 'jar:pesto:sauce', 'jar:spicy:bean:sauce', 'jar:measuring', 'jar:glass', 'jar:thyme', 'jar:sun:dried:tomato', 'jar:spicy:bean:paste', 'jar:clip:top', 'jar:top', 'jar:jam', 'jar:chilli:flake', 'jar:tahini:sauce', 'jar:dressing', 'jar:tahini', 'jar:pepper', 'jar:sauce', 'jar:paprika', 'jar:garlic', 'jar:spice', 'jar:plastic', 'thread:jar', 'rim:jar', 'top:top:jar', 'top:clip:top:jar', 'clip:top:jar', 'clip:clip:top:jar', 'jar:pasta:sauce', 'jar:coconut', 'jar:olive', 'jar:pesto']",containers
41,carrot,"['carrot', 'carrot:tail', 'carrot:chopped', 'carrot:sliced', 'carrot:diced', 'bit:carrot', 'strip:carrot', 'handful:carrot', 'end:carrot', 'slice:carrot', 'chunk:carrot', 'piece:carrot', 'stick:carrot', 'bottom:carrot', 'choppings:carrot', 'edge:carrot']",vegetables
42,top,"['top', 'top:counter', 'surface', 'surface:wipe', 'counter', 'counter:kitchen', 'side', 'top:kitchen', 'surface:mixture', 'surface:wiping', 'surface:work', 'bench', 'sideboard', 'tabletop', 'countertop', 'desk', 'table', 'table:round', 'top:table', 'surface:kitchen', 'surface:side', 'surface:cooking']",furniture
43,tomato,"['tomato', 'tomato:dried', 'tomato:cherry', 'tomato:chopped', 'sun', 'tomato:sixth', 'tomato:fourth', 'tomato:seventh', 'tomato:second', 'tomato:fifth', 'tomato:chop', 'tomato:sun:dried', 'tomato:third', 'half:cherry:tomato', 'piece:sun:dried:tomato', 'piece:tomato', 'tomato:other', 'tomato:poor', 'tomato:peeled', 'centre:tomato', 'dish:tomato', 'end:tomato', 'heart:tomato']",vegetables
44,kettle,"['kettle', 'spout:kettle', 'level:kettle', 'cooker:water', 'pot:kettle', 'boiler', 'boiler:water', 'content:water:boiler', 'kettle:electronic']",appliances
45,pasta,"['pasta', 'spaghetti', 'piece:pasta', 'lasagne', 'tortellini', 'top:pasta', 'slice:lasagne']",baked goods and grains
46,oven,"['oven', 'oven:adjust', 'cooker', 'door:oven', 'setting:oven', 'display:oven', 'side:oven', 'drawer:oven', 'top:oven', 'height:oven']",appliances
47,sauce,"['sauce', 'sauce:soy', 'sauce:fish', 'sauce:pesto', 'sauce:tomato', 'salsa', 'tabasco', 'sauce:soya', 'soy', 'passata', 'sauce:tahini', 'sauce:spicy:bean', 'sauce:tabasco', 'sauce:chilli', 'sauce:black:bean', 'passata:containing', 'sauce:worcestershire', 'puree', 'glaze', 'sriracha', 'puree:tomato', 'marinade', 'marinade:pork', 'condiment', 'ketchup', 'mayonnaise', 'tahini', 'dressing:salad', 'dressing', 'mustard', 'pesto', 'sauce:other', 'sauce:jarred', 'sauce:stir', 'sauce:more', 'sauce:mix', 'sauce:spinker', 'pico']",spices and herbs and sauces
48,skin,"['skin', 'skin:onion', 'skin:potato', 'peel', 'peel:onion', 'peeling', 'peeling:onion', 'peeling:carrot', 'rind', 'skin:squash', 'skin:carrot', 'skin:banana', 'skin:pepper', 'rind:lemon', 'skin:leaf', 'skin:orange', 'peel:lemon', 'rind:cheese', 'peeling:radish', 'peel:orange', 'peel:clove', 'skin:courgette', 'skin:garlic', 'peel:garlic', 'heap:peel', 'pile:peel', 'piece:onion:skin', 'piece:skin', 'top:peel', 'skin:kiwi:bit', 'skin:avocado', 'skin:spring:onion', 'skin:outer', 'skin:dirty', 'peel:banana', 'peel:melon', 'peel:potato', 'peeling:vegetable', 'peeling:veggie', 'rind:peach', 'trimming']",rubbish
49,paper,"['paper', 'paper:baking', 'paper:cooking', 'letter', 'paper:shredded', 'paper:foiled', 'paper:greaseproof', 'paper:foil', 'card', 'square:greaseproof:paper', 'piece:baking:paper', 'cylinder:paper', 'square:paper', 'page', 'piece:paper', 'receipt', 'edge:paper', 'file', 'envelope', 'poster', 'mail']",materials
50,maker:coffee,"['maker:coffee', 'v60', 'cafetiere', 'cafetiere:rinse', 'maker', 'machine:coffee', 'pot:moka', 'pot:mocha', 'moka', 'bottom:aeropress', 'aeropress', 'plunger:cafetiere', 'grinder', 'grinder:coffee', 'mocha', 'base:coffee:machine', 'pot:coffee', 'blender:coffee', 'nozzle', 'nozzle:coffee', 'top:coffee:machine', 'drawer:coffee:machine', 'holder:filter', 'top:cafetiere', 'grind:coffee', 'part:coffee:pot', 'section:coffee:maker', 'plunger']",appliances
51,garlic,"['garlic', 'garlic:chop', 'garlic:peel', 'piece:garlic', 'clove', 'bit:garlic', 'bulb', 'garlic:smashed', 'garlic:sliced', 'clove:garlic', 'garlic:containing', 'garlic:minced', 'bulb:garlic', 'garlic:open', 'slice:garlic', 'slice:garlic:clove', 'end:garlic', 'end:garlic:clove', 'chunk:garlic', 'granule:garlic', 'garlic:more', 'garlic:dice', 'rest:garlic']",vegetables
52,towel,"['towel', 'towel:tea', 'towel:cleaning', 'towel:second', 'rug', 'duster']",materials
53,egg,"['egg', 'egg:open', 'egg:whisked', 'pulp:egg', 'yolk:egg', 'egg:second', 'egg:fried', 'egg:distribute', 'egg:pour', 'leftover:egg']",dairy and eggs
54,rubbish,"['rubbish', 'trash', 'garbage', 'waste', 'waste:food', 'scum', 'dirt', 'recycling', 'compost', 'piece:plastic', 'piece:waste:pepper', 'bit:dust', 'dust', 'spot', 'crumb', 'content:sink:strainer', 'residue:food', 'residue', 'rubbish:grape', 'bin:leftover:food', 'food:residual', 'bit:garbage', 'leftover:food', 'over:left', 'remains', 'bit:sink', 'remainder', 'stuff:chopping:board', 'bit:plastic']",rubbish
55,rice,"['rice', 'rice:scoop', 'rice:remaining', 'grain:rice', 'risotto', 'rice:jasmine', 'rice:split', 'rice:vegetable', 'rice:cooked', 'rest:rice', 'rise']",baked goods and grains
56,mushroom,"['mushroom', 'mushroom:chop', 'mushroom:chopped', 'end:mushroom', 'bit:mushroom', 'piece:mushroom']",vegetables
57,chicken,"['chicken', 'thigh:chicken', 'breast:chicken', 'piece:chicken', 'breast', 'drum', 'bone:chicken']",meat and substitute
58,cutlery,"['cutlery', 'knife:fork', 'silverware', 'tableware', 'piece:cutlery']",cutlery
