narration_id,narration,verb_class,noun_classes,verb,nouns
P01_01_322,put down pan,1,[5],put-down,['pan']
P01_01_324,washing pan,2,[5],wash,['pan']
P01_01_325,wash saucepan,2,[5],wash,['saucepan']
P01_01_326,wash drainer,2,[110],wash,['drainer']
P01_01_36,take courgette,0,[76],take,['courgette']
P01_01_37,cut courgette,7,[76],cut,['courgette']
P01_01_38,turn on hob,6,[24],turn-on,['hob']
P01_01_4,take celery,0,[223],take,['celery']
P01_01_40,still cutting courgette,7,[76],cut,['courgette']
P01_01_41,dicing courgette,7,[76],dice,['courgette']
P01_01_42,still dicing courgette,7,[76],dice,['courgette']
P01_01_45,pour courgette onto pan,9,"[76, 5]",pour-onto,"['courgette', 'pan']"
P01_01_46,throw courgette into rubbish bin,13,"[76, 36]",throw-into,"['courgette', 'bin:rubbish']"
P01_01_50,stir courgette,10,[76],stir,['courgette']
P01_01_53,pour salt onto pan,9,"[38, 5]",pour-onto,"['salt', 'pan']"
P01_01_58,still washing celery,2,[223],wash,['celery']
P01_01_60,wash celery,2,[223],wash,['celery']
P01_01_62,put down celery,1,[223],put-down,['celery']
P01_01_63,cut celery,7,[223],cut,['celery']
P01_01_64,still cutting celery,7,[223],cut,['celery']
P01_01_65,pour celery onto pan,9,"[223, 5]",pour-onto,"['celery', 'pan']"
P01_01_66,put down cutting board and knife,1,"[18, 4]",put-down,"['board:cutting', 'knife']"
P01_01_68,throw things into garbage bin,13,[36],throw-into,['bin:garbage']
P01_01_70,put celery back into fridge,5,"[223, 12]",put-into,"['celery', 'fridge']"
P01_01_73,stir something,10,[20],stir,['spatula']
P01_01_76,take onion,0,[16],take,['onion']
P01_01_78,put down onion,1,[16],put-down,['onion']
P01_01_82,cut onion,7,[16],cut,['onion']
P01_01_83,still cutting onion,7,[16],cut,['onion']
P01_01_88,pour water into kettle,9,"[27, 44]",pour-into,"['water', 'kettle']"
P01_01_89,still pouring water,9,[27],pour,['water']
P01_01_9,take carrots and,0,[41],take,['carrot']
P01_01_91,turn kettle on,6,[44],turn-on,['kettle']
P01_01_98,put glass into cupboard,5,"[10, 3]",put-into,"['glass', 'cupboard']"
P01_02_1,open bin,3,[36],open,['bin']
P01_02_10,pour washing up liquid into sponge,9,"[22, 9]",pour,"['liquid:washing:up', 'sponge']"
P01_02_100,take rag,0,[17],take,['rag']
P01_02_101,still squeezing sponge,18,[9],squeeze,['sponge']
P01_02_102,rinse rag,2,[17],rinse,['rag']
P01_02_103,squeeze rag,18,[17],squeeze,['rag']
P01_02_104,wipe sink,2,[63],wipe,['sink']
P01_02_107,wipe counter,2,[42],wipe,['counter']
P01_02_108,still wiping counter,2,[42],wipe,['counter']
P01_02_11,squeeze sponge,18,[9],squeeze,['sponge']
P01_02_111,throw leftovers into bin,13,"[34, 36]",throw-into,"['leftover', 'bin']"
P01_02_112,close bin,4,[36],close,['bin']
P01_02_113,wipe cooker,2,[46],wipe,['cooker']
P01_02_114,still wiping cooker,2,[46],wipe,['cooker']
P01_02_125,still wiping sink,2,[63],wipe,['sink']
P01_02_127,put down rag,1,[17],put-down,['rag']
P01_02_128,take cloth,0,[17],take,['cloth']
P01_02_129,dry hands,14,[11],dry,['hand']
P01_02_13,wash fork,2,[14],wash,['fork']
P01_02_130,put down cloth,1,[17],put-down,['cloth']
P01_02_131,move chair,11,[182],move,['chair']
P01_02_132,take eating board,0,[84],take,['board:eating']
P01_02_134,put down eating board,1,[84],put-down,['board:eating']
P01_02_135,take lid,0,[6],take,['lid']
P01_02_142,pour water into glass,9,"[27, 10]",pour-into,"['water', 'glass']"
P01_02_145,close bottle,4,[15],close,['bottle']
P01_02_15,wash knife,2,[4],wash,['knife']
P01_02_18,wash plate,2,[2],wash,['plate']
P01_02_19,still washing plate,2,[2],wash,['plate']
P01_02_23,rinse spatula,2,[20],rinse,['spatula']
P01_02_24,wash spatula,2,[20],wash,['spatula']
P01_02_25,still washing spatula,2,[20],wash,['spatula']
P01_02_27,take colander,0,[39],take,['colander']
P01_02_28,wash colander,2,[39],wash,['colander']
P01_02_29,put down colander,1,[39],put-down,['colander']
P01_02_32,still washing saucepan,2,[5],wash,['saucepan']
P01_02_37,empty pan,20,[5],empty,['pan']
P01_02_38,wash pan,2,[5],wash,['pan']
P01_02_39,still washing pan,2,[5],wash,['pan']
P01_02_40,continue washing pan,2,[5],wash,['pan']
P01_02_43,wash cutting board,2,[18],wash,['board:cutting']
P01_02_44,still washing cutting board,2,[18],wash,['board:cutting']
P01_02_47,wash grater,2,[96],wash,['grater']
P01_02_48,still washing grater,2,[96],wash,['grater']
P01_02_49,put down sponge,1,[9],put-down,['sponge']
P01_02_5,take sponge,0,[9],take,['sponge']
P01_02_53,wash spoon,2,[1],wash,['spoon']
P01_02_56,rinse hand,2,[11],rinse,['hand']
P01_02_57,rinse spoon,2,[1],rinse,['spoon']
P01_02_58,rinse grater,2,[96],rinse,['grater']
P01_02_59,still rinsing grater,2,[96],rinse,['grater']
P01_02_62,rinse colander,2,[39],rinse,['colander']
P01_02_63,still rinsing colander,2,[39],rinse,['colander']
P01_02_69,rinse saucepan,2,[5],rinse,['saucepan']
P01_02_70,still rinsing saucepan,2,[5],rinse,['saucepan']
P01_02_74,rinse pan,2,[5],rinse,['pan']
P01_02_76,adjusting top,17,[42],adjust,['top']
P01_02_78,still rinsing pan,2,[5],rinse,['pan']
P01_02_79,washing pans,2,[5],wash,['pan']
P01_02_8,rinse sponge,2,[9],rinse,['sponge']
P01_02_84,rinse knife,2,[4],rinse,['knife']
P01_02_87,rinse fork,2,[14],rinse,['fork']
P01_02_9,take washing up liquid,0,[22],take,['liquid:washing:up']
P01_02_90,rinse plate,2,[2],rinse,['plate']
P01_02_91,still rinsing plate,2,[2],rinse,['plate']
P01_02_94,rinse cutting board,2,[18],rinse,['board:cutting']
P01_02_95,still rinsing cutting board,2,[18],rinse,['board:cutting']
P01_03_11,put down soy milk,1,[64],put-down,['milk:soy']
P01_03_12,take table cloth,0,[17],take,['cloth:table']
P01_03_13,move bottle,11,[15],move,['bottle']
P01_03_14,move glass,11,[10],move,['glass']
P01_03_15,unfold tablecloth,39,[17],unfold,['tablecloth']
P01_03_16,pull down tablecloth,31,[17],pull-down,['tablecloth']
P01_03_19,put down cup,1,[13],put-down,['cup']
P01_03_2,switch on lights,6,[114],switch-on,['light']
P01_03_20,take soy milk,0,[64],take,['milk:soy']
P01_03_21,shake soy milk,15,[64],shake,['milk:soy']
P01_03_22,open soy milk,3,[64],open,['milk:soy']
P01_03_23,pour soy milk,9,[64],pour,['milk:soy']
P01_03_24,close soy milk,4,[64],close,['milk:soy']
P01_03_26,put down the soy milk,1,[64],put-down,['milk:soy']
P01_03_3,adjust lights,17,[114],adjust,['light']
P01_03_33,take cereals,0,[99],take,['cereal']
P01_03_35,put down cereals,1,[99],put-down,['cereal']
P01_03_36,open cereal bag,3,[19],open,['bag:cereal']
P01_03_37,extract bag,12,[19],extract,['bag']
P01_03_38,unfold bag,39,[19],unfold,['bag']
P01_03_39,pour cereals,9,[99],pour,['cereal']
P01_03_40,still pouring cereals,9,[99],pour,['cereal']
P01_03_41,put down bag,1,[19],put-down,['bag']
P01_03_7,put back container,1,[21],put-back,['container']
P01_04_10,fold tablecloth,28,[17],fold,['tablecloth']
P01_04_13,pour washing up liquid into cup,9,"[22, 13]",pour,"['liquid:washing:up', 'cup']"
P01_04_15,wash cup,2,[13],wash,['cup']
P01_04_17,rinse cup,2,[13],rinse,['cup']
P01_04_18,turn tap,23,[0],turn,['tap']
P01_04_19,pull down cup,31,[13],pull-down,['cup']
P01_04_2,take cereal bag,0,[19],take,['bag:cereal']
P01_04_20,rinse sink,2,[63],rinse,['sink']
P01_04_21,rinse hands,2,[11],rinse,['hand']
P01_04_25,open bottle,3,[15],open,['bottle']
P01_04_27,pour water,9,[27],pour,['water']
P01_04_3,fold cereal bag,28,[19],fold,['bag:cereal']
P01_04_4,put cereal bag into cereal box,5,"[19, 23]",put-into,"['bag:cereal', 'box:cereal']"
P01_04_5,close cereal box,4,[23],close,['box:cereal']
P01_04_7,put down cereal box,1,[23],put-down,['box:cereal']
P01_04_9,take tablecloth,0,[17],take,['tablecloth']
P01_05_1,take mushrooms,0,[56],take,['mushroom']
P01_05_102,take frying pan,0,[5],take,['pan:frying']
P01_05_104,put pan on hob,1,"[5, 24]",put-on,"['pan', 'hob']"
P01_05_114,pour salt into spoon,9,"[38, 1]",pour-into,"['salt', 'spoon']"
P01_05_115,pour salt,9,[38],pour,['salt']
P01_05_119,pour potatoes into saucepan,9,"[30, 5]",pour-into,"['potato', 'saucepan']"
P01_05_121,throw sausage sleeve,13,[86],throw,['sausage']
P01_05_122,take sausages,0,[86],take,['sausage']
P01_05_123,open sausage box,3,[23],open,['box:sausage']
P01_05_124,throw plastic into bin,13,"[26, 36]",throw-into,"['plastic', 'bin']"
P01_05_136,take bread,0,[33],take,['bread']
P01_05_137,put down bread,1,[33],put-down,['bread']
P01_05_138,slice bread,7,[33],slice,['bread']
P01_05_139,continue slicing bread,7,[33],slice,['bread']
P01_05_14,put plate into cupboard,5,"[2, 3]",put-into,"['plate', 'cupboard']"
P01_05_141,take bread bag,0,[19],take,['bag:bread']
P01_05_142,put bread in bag,5,"[33, 19]",put-in,"['bread', 'bag']"
P01_05_143,fold bag,28,[19],fold,['bag']
P01_05_147,unfold table cloth,39,[17],unfold,['cloth:table']
P01_05_148,move plate,11,[2],move,['plate']
P01_05_149,dry blades,14,[4],dry,['blade']
P01_05_150,put blade down,1,[4],put-down,['blade']
P01_05_157,turn on tap,6,[0],turn-on,['tap']
P01_05_159,turn off tap,8,[0],turn-off,['tap']
P01_05_160,put bottle down,1,[15],put,['bottle']
P01_05_161,take fruit box,0,[23],take,['box:fruit']
P01_05_162,open fruit box,3,[23],open,['box:fruit']
P01_05_163,take mesh,0,[39],take,['mesh']
P01_05_165,throw mesh into bin,13,"[39, 36]",throw-into,"['mesh', 'bin']"
P01_05_168,wash fruit,2,[254],wash,['fruit']
P01_05_169,continue washing fruit,2,[254],wash,['fruit']
P01_05_17,move saucepans,11,[5],move,['saucepan']
P01_05_171,put fruit onto table,1,"[254, 42]",put-onto,"['fruit', 'table']"
P01_05_175,put sausages onto pan,1,"[86, 5]",put-onto,"['sausage', 'pan']"
P01_05_178,throw box into lid into bin,13,"[23, 6, 36]",throw-into,"['box', 'lid', 'bin']"
P01_05_18,put saucepan into cupboard,5,"[5, 3]",put-into,"['saucepan', 'cupboard']"
P01_05_180,hang clothes,41,[73],hang,['clothes']
P01_05_181,take clothes,0,[73],take,['clothes']
P01_05_184,take tongs,0,[142],take,['tongs']
P01_05_185,put down tongs,1,[142],put-down,['tongs']
P01_05_187,stir,10,[1],stir,['spoon']
P01_05_189,adjust hop,17,[24],adjust,['hop']
P01_05_190,move saucepan,11,[5],move,['saucepan']
P01_05_195,take lighter,0,[130],take,['lighter']
P01_05_196,take candle,0,[280],take,['candle']
P01_05_197,turn on candle,6,[280],turn-on,['candle']
P01_05_198,put down candle,1,[280],put-down,['candle']
P01_05_2,move container,11,[21],move,['container']
P01_05_20,put on saucepan,1,[5],put-on,['saucepan']
P01_05_202,take tong,0,[142],take,['tong']
P01_05_203,flip sausage,22,[86],flip,['sausage']
P01_05_21,take bowls,0,[7],take,['bowl']
P01_05_214,heat sausage,45,[86],heat,['sausage']
P01_05_215,put down tong,1,[142],put-down,['tong']
P01_05_217,check potato,24,[30],check,['potato']
P01_05_22,put bowls into cupboard,5,"[7, 3]",put-into,"['bowl', 'cupboard']"
P01_05_222,turn sausage,23,[86],turn,['sausage']
P01_05_233,drain potato,37,[30],drain,['potato']
P01_05_235,pour potato onto plate,9,"[30, 2]",pour-onto,"['potato', 'plate']"
P01_05_237,take oil,0,[31],take,['oil']
P01_05_241,move potatoes,11,[30],move,['potato']
P01_05_242,place sausages into pan,1,"[86, 5]",place,"['sausage', 'pan']"
P01_05_244,put down frying pan,1,[5],put-down,['pan:frying']
P01_05_248,open oil,3,[31],open,['oil']
P01_05_252,take rosemary,0,[277],take,['rosemary']
P01_05_253,open rosemary,3,[277],open,['rosemary']
P01_05_254,sprinkle rosemary,42,[277],sprinkle,['rosemary']
P01_05_255,close rosemary,4,[277],close,['rosemary']
P01_05_256,put rosemary down,1,[277],put-down,['rosemary']
P01_05_258,mix food,10,[34],mix,['food']
P01_05_27,take ladle,0,[97],take,['ladle']
P01_05_29,dry ladle,14,[97],dry,['ladle']
P01_05_32,put ladle back into drawer,1,"[97, 8]",put,"['ladle', 'drawer']"
P01_05_34,dry knife,14,[4],dry,['knife']
P01_05_4,put mushrooms into fridge,5,"[56, 12]",put-into,"['mushroom', 'fridge']"
P01_05_41,put spatula into drawer,5,"[20, 8]",put-into,"['spatula', 'drawer']"
P01_05_42,put down cutleries,1,[58],put-down,['cutlery']
P01_05_45,close drawers,4,[8],close,['drawer']
P01_05_50,take potato,0,[30],take,['potato']
P01_05_51,put lid into cupboard,5,"[6, 3]",put-into,"['lid', 'cupboard']"
P01_05_53,move sausages,11,[86],move,['sausage']
P01_05_54,move cutting board,11,[18],move,['board:cutting']
P01_05_56,open kettle,3,[44],open,['kettle']
P01_05_57,turn off top,8,[42],turn-off,['top']
P01_05_59,close kettle,4,[44],close,['kettle']
P01_05_6,put down sausages,1,[86],put-down,['sausage']
P01_05_62,turn on kettle,6,[44],turn-on,['kettle']
P01_05_65,put spoon,1,[1],put,['spoon']
P01_05_68,hang cloth,41,[17],hang,['cloth']
P01_05_73,move knife,11,[4],move,['knife']
P01_05_74,peel potato,19,[30],peel,['potato']
P01_05_76,continue peeling potato,19,[30],peel,['potato']
P01_05_78,still peeling potato,19,[30],peel,['potato']
P01_05_79,put down potato,1,[30],put-down,['potato']
P01_05_80,continue slicing potato,7,[30],slice,['potato']
P01_05_81,slice potato,7,[30],slice,['potato']
P01_05_85,put knife in drawer,5,"[4, 8]",put-in,"['knife', 'drawer']"
P01_05_88,put saucepan on hob,1,"[5, 24]",put-on,"['saucepan', 'hob']"
P01_05_92,take potato skin,0,[48],take,['skin:potato']
P01_05_94,throw skin into bin,13,"[48, 36]",throw-into,"['skin', 'bin']"
P01_06_10,take fruit,0,[254],take,['fruit']
P01_06_101,continue wiping sink,2,[63],wipe,['sink']
P01_06_102,squeeze cloth,18,[17],squeeze,['cloth']
P01_06_106,rinse cloth,2,[17],rinse,['cloth']
P01_06_109,continue wiping cooker,2,[46],wipe,['cooker']
P01_06_11,put down fruit,1,[254],put-down,['fruit']
P01_06_113,wash sink,2,[63],wash,['sink']
P01_06_13,shake tablecloth,15,[17],shake,['tablecloth']
P01_06_15,put tablecloth,1,[17],put,['tablecloth']
P01_06_17,pour washing up liquid,9,[22],pour,['liquid:washing:up']
P01_06_18,put down washing up liquid,1,[22],put-down,['liquid:washing:up']
P01_06_33,wash tong,2,[142],wash,['tong']
P01_06_39,wash glass,2,[10],wash,['glass']
P01_06_46,continue washing plate,2,[2],wash,['plate']
P01_06_47,hold the plate,34,[2],hold,['plate']
P01_06_5,put down plate and fork,1,"[2, 14]",put-down,"['plate', 'fork']"
P01_06_59,empty saucepan,20,[5],empty,['saucepan']
P01_06_61,take colander and pan,0,"[39, 5]",take,"['colander', 'pan']"
P01_06_68,put cutting board onto rack,1,"[18, 110]",put,"['board:cutting', 'rack']"
P01_06_70,rinse glass,2,[10],rinse,['glass']
P01_06_71,put glass onto rack,1,"[10, 110]",put-onto,"['glass', 'rack']"
P01_06_73,put pan onto rack,1,"[5, 110]",put-onto,"['pan', 'rack']"
P01_06_75,put colander onto rack,1,"[39, 110]",put-onto,"['colander', 'rack']"
P01_06_78,put saucepan onto rack,1,"[5, 110]",put-onto,"['saucepan', 'rack']"
P01_06_80,put plate onto rack,1,"[2, 110]",put-onto,"['plate', 'rack']"
P01_06_84,put knife onto rack,1,"[4, 110]",put-onto,"['knife', 'rack']"
P01_06_85,rinse tong,2,[142],rinse,['tong']
P01_06_86,put tong onto rack,1,[110],put-onto,['rack']
P01_06_90,put fork,1,[14],put,['fork']
P01_06_94,continue squeezing sponge,18,[9],squeeze,['sponge']
P01_07_11,lay table cloth down,1,[17],lay-down,['cloth:table']
P01_07_17,put cutting boards into cupboard,5,"[18, 3]",put-into,"['board:cutting', 'cupboard']"
P01_07_18,close cupboard.,4,[3],close,['cupboard']
P01_07_19,take plate.,0,[2],take,['plate']
P01_07_20,open cupboard.,3,[3],open,['cupboard']
P01_07_21,put plate into cupboard.,5,"[2, 3]",put-into,"['plate', 'cupboard']"
P01_07_22,take cup.,0,[13],take,['cup']
P01_07_24,put cup down.,1,[13],put-down,['cup']
P01_07_25,take saucepan.,0,[5],take,['saucepan']
P01_07_26,take pan.,0,[5],take,['pan']
P01_07_28,put fry pan into cupboard.,5,"[5, 3]",put-into,"['pan:fry', 'cupboard']"
P01_07_29,put saucepan into cupboard.,5,"[5, 3]",put-into,"['saucepan', 'cupboard']"
P01_07_3,throw something into bin,13,[36],throw-into,['bin']
P01_07_31,take colander.,0,[39],take,['colander']
P01_07_32,put colander into cupboard.,5,"[39, 3]",put-into,"['colander', 'cupboard']"
P01_07_35,take glass.,0,[10],take,['glass']
P01_07_37,put glass into cupboard.,5,"[10, 3]",put-into,"['glass', 'cupboard']"
P01_07_43,pour soy milk into cup,9,"[64, 13]",pour-into,"['milk:soy', 'cup']"
P01_07_46,put soy milk into fridge,5,"[64, 12]",put-into,"['milk:soy', 'fridge']"
P01_07_52,open cereal box,3,[23],open,['box:cereal']
P01_07_54,unfold cereal bag,39,[19],unfold,['bag:cereal']
P01_07_56,put in bag,5,[19],put-in,['bag']
P01_07_8,put cutlery into drawer,5,"[58, 8]",put-into,"['cutlery', 'drawer']"
P01_08_0,take cereal bar,0,[265],take,['bar:cereal']
P01_08_1,fold cereal bar,28,[265],fold,['bar:cereal']
P01_08_12,put down liquid,1,[150],put-down,['liquid']
P01_08_16,put spoon into rack,5,"[1, 110]",put-into,"['spoon', 'rack']"
P01_08_2,put cereal bar into box,5,"[265, 23]",put-into,"['bar:cereal', 'box']"
P01_08_23,fold table cloth,28,[17],fold,['cloth:table']
P01_08_24,put table cloth into cupboard,5,[17],put-into,['cloth:table']
P01_08_3,close box,4,[23],close,['box']
P01_08_5,put cereals into cupboard,5,"[99, 3]",put-into,"['cereal', 'cupboard']"
P01_08_7,move,11,[159],move,['floor']
P01_09_1,take bag,0,[19],take,['bag']
P01_09_100,pour flour onto counter,9,"[75, 42]",pour-onto,"['flour', 'counter']"
P01_09_101,put down bowl,1,[7],put-down,['bowl']
P01_09_102,knead dough,51,[25],knead,['dough']
P01_09_103,pour flour,9,[75],pour,['flour']
P01_09_104,put down flour,1,[75],put-down,['flour']
P01_09_106,continue kneading dough,51,[25],knead,['dough']
P01_09_107,keep kneading dough,51,[25],knead,['dough']
P01_09_108,take flour bag,0,[19],take,['bag:flour']
P01_09_110,pour flour into hands,9,"[75, 11]",pour-into,"['flour', 'hand']"
P01_09_111,put down flour bag,1,[19],put-down,['bag:flour']
P01_09_112,spread flour,27,[75],spread,['flour']
P01_09_118,sprinkle flour,42,[75],sprinkle,['flour']
P01_09_124,put dough into bowl,5,"[25, 7]",put-into,"['dough', 'bowl']"
P01_09_126,wash hands,2,[11],wash,['hand']
P01_09_131,take tea towels,0,[52],take,['towel:tea']
P01_09_132,put towel unto bowl,1,"[52, 7]",put-unto,"['towel', 'bowl']"
P01_09_134,put bowl aside,1,[7],put,['bowl']
P01_09_135,take timer,0,[111],take,['timer']
P01_09_136,set timer,53,[111],set,['timer']
P01_09_137,put down timer,1,[111],put-down,['timer']
P01_09_138,put tea towels into cupboard,5,"[52, 3]",put-into,"['towel:tea', 'cupboard']"
